row_id,current_date_time_min,current_date_time_mean,current_date_time_max,time_mean,time_min,time_max,user_id,lanes,is_intersection,is_two_way_street,bike_maneuver,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,real_risk,risk,vehicle_id,vehicle_name,vehicle_position_x_mean,vehicle_position_y_mean,vehicle_position_z_mean,bike_position_x_mean,bike_position_y_mean,bike_position_z_mean,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max
2024-06-27 22:39:3_vID-2330,2024-06-27 22:39:38,2024-06-27 22:39:38.574712576,2024-06-27 22:39:39,00:00:17.431988,00:00:16.567000,00:00:18.280000,692155,,,,,,,,,,,,warning,danger,-2330,OriginalSmallSedan(Clone)10,1075.9569540229886,16.233490574712643,657.4018195402299,1070.02,16.009227471264367,661.6672,19.648095747126437,18.50625,20.00008,6.165058298850574,4.395603,9.238577,0.00036245700459770113,0.000143181,0.001085947
2024-06-27 22:39:3_vID-4076,2024-06-27 22:39:34,2024-06-27 22:39:34.373494016,2024-06-27 22:39:35,00:00:13.104662,00:00:12.297000,00:00:13.955000,692155,,,,,,,,,,,,warning,danger,-4076,SmallSedanYellow2(Clone)19,1075.9307228915663,16.174076987951807,660.0969457831325,1070.02,16.01622638554217,661.6672783132531,32.377984457831325,25.0,39.7558,5.88420278313253,4.396571,8.823071,0.5215843119518072,0.0,4.31465
2024-06-27 22:39:4_vID-1166,2024-06-27 22:39:46,2024-06-27 22:39:47.648351488,2024-06-27 22:39:49,00:00:26.462340,00:00:24.671000,00:00:28.265000,692155,,,,,,,,,,,,warning,danger,-1166,SmallSedanGrey(Clone)4,1075.7998406593406,15.928543626373626,673.243721978022,1069.695879120879,15.704144010989012,680.4448472527472,19.960099725274727,19.86668,20.00007,7.971454005494506,7.504098,9.335282,17.131334615384617,14.0661,20.07594
2024-06-27 22:39:4_vID-2330,2024-06-27 22:39:40,2024-06-27 22:39:40.074074112,2024-06-27 22:39:41,00:00:18.843185,00:00:18.322000,00:00:19.366000,692155,,,,,,,,,,,,warning,warning,-2330,OriginalSmallSedan(Clone)10,1075.8795925925926,16.062225555555557,665.1983907407407,1070.02,16.00923,661.6672,19.963725,19.86669,20.00007,5.504879888888889,4.419499,7.210318,0.00022570545555555555,0.0001555507,0.0003374029
2024-06-27 22:39:5_vID-1166,2024-06-27 22:39:50,2024-06-27 22:39:54.495010048,2024-06-27 22:39:59,00:00:33.293089,00:00:28.306000,00:00:38.292000,692155,,,,,,,,,,,,warning,danger,-1166,SmallSedanGrey(Clone)4,1075.4323073852295,15.703676906187624,710.7110325349302,1070.4469461077845,15.571647205588821,713.7171560878244,18.128531333333335,6.350369,20.00003,5.749967397205589,2.981555,8.49569,14.573930253493014,6.457844,24.58378
2024-06-27 22:40:0_vID-1166,2024-06-27 22:40:00,2024-06-27 22:40:04.513999872,2024-06-27 22:40:09,00:00:43.303258,00:00:38.333000,00:00:48.274000,692155,,,,,,,,,,,,warning,warning,-1166,SmallSedanGrey(Clone)4,1075.192966,15.700908380000001,735.2702486000001,1071.3903160000002,15.57746914,734.3739486,0.5901066672798401,6.162096e-05,6.214138,2.833442188,2.260441,4.467969,4.80085957156,0.04253192,6.424437
2024-06-27 22:40:0_vID-2524,2024-06-27 22:40:05,2024-06-27 22:40:06.232323328,2024-06-27 22:40:07,00:00:45.012808,00:00:44.015000,00:00:45.977000,692155,,,,,,,,,,,,warning,danger,-2524,SmallSedanBlue2(Clone)11,1068.343595959596,15.601927777777778,745.204696969697,1071.447101010101,15.577570909090909,735.7836909090909,4.6097866882191925,0.0001554711,18.75785,8.438724484848485,7.495317,9.468243,4.395592656565657,2.339919,5.606505
2024-06-27 22:40:0_vID-390,2024-06-27 22:40:05,2024-06-27 22:40:07.322580480,2024-06-27 22:40:09,00:00:46.132949,00:00:43.972000,00:00:48.274000,692155,,,,,,,,,,,,warning,danger,-390,OriginalSmallSedan(Clone)0,1072.182921658986,15.60513064516129,742.622731797235,1071.3816589861751,15.577490092165897,734.1270387096774,6.565392381036866,0.002729418,26.04486,7.044617594470046,5.461939,9.522448,4.970663152073733,2.191328,5.606505
2024-06-27 22:40:1_vID-1166,2024-06-27 22:40:10,2024-06-27 22:40:10.418604544,2024-06-27 22:40:11,00:00:49.162941,00:00:48.314000,00:00:50.027000,692155,,,,,,,,,,,,warning,warning,-1166,SmallSedanGrey(Clone)4,1075.19,15.700957325581395,735.6087616279069,1071.205034883721,15.57673534883721,729.6217965116278,1.5447164156569768,6.57433e-05,3.240064,5.710641058139535,4.49085,7.19828,5.235888593023256,5.213121,5.279787
2024-06-27 22:40:1_vID-390,2024-06-27 22:40:10,2024-06-27 22:40:14.490982144,2024-06-27 22:40:19,00:00:53.293043,00:00:48.315000,00:00:58.256000,692155,,,,,,,,,,,,warning,danger,-390,OriginalSmallSedan(Clone)0,1071.3580821643286,15.69978240480962,732.6571386773547,1071.4175871743487,15.573219298597195,724.1759220440881,5.301145147859719,0.0001042363,11.18618,6.987165480961924,6.046396,7.901011,4.631559138276553,3.676605,5.279787
