lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,33.21007,6.084,23.7727,hard,warning
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,8.137608e-05,1.525403,25.90126,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,24.54172,6.500194,17.99194,normal,warning
1,1,1,turn left,straight,same_direction,0,0,0,0,0,1,1,24.00027,3.67182,58.72406,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.99803,6.381399,6.828792,easy,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,47.00008,3.174242,25.55413,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,20.65988,5.55976,16.65844,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,29.00109,6.208251,14.76871,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,20.00305,1.585138,23.1127,normal,danger
2,0,1,stop,straight,same_direction,0,0,0,0,1,0,1,31.61682,1.619022,4.61302,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,42.61573,0.9928768,22.87132,easy,danger
1,0,1,straight,straight,same_direction,0,0,1,0,0,0,1,20.00006,7.661116,14.06627,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,45.00301,4.570004,3.891482,hard,warning
1,0,1,reverse,stop,same_direction,0,0,1,0,0,0,1,3.240064,4.49085,5.279787,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,20.00014,1.625163,28.68064,normal,danger
2,1,1,turn left,straight,same_direction,0,0,0,0,0,1,1,43.46976,0.5307155,12.72829,hard,danger
1,1,1,straight,turn_right,from_left,0,0,1,0,0,1,1,15.03116,3.146751,0.7367541,hard,warning
2,0,1,reverse,straight,from_right,1,0,0,0,0,0,1,20.00111,2.267834,11.44079,hard,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,30.01126,6.093941,22.66892,hard,warning
2,1,1,turn left,straight,from_left,0,0,0,0,0,1,1,24.00051,2.873254,14.39218,hard,warning
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,38.95016,1.239661,8.53742,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,50.01204,5.566581,30.06287,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,22.00108,1.324604,32.87553,hard,danger
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,50.00019,4.62624,8.857379,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00001,0.911638,39.06768,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,28.00002,4.377806,50.35506,easy,warning
4,1,0,turn left,turn left,same_direction,0,0,0,0,0,0,0,30.0002,2.328197,9.808128,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,25.0042,0.8955626,7.585506,hard,danger
1,1,1,turn_right,straight,same_direction,1,0,1,0,0,1,1,43.18702,1.844732,12.50262,normal,danger
1,1,1,straight,stop,from_right,0,0,0,0,0,0,0,1.622168e-05,7.992365,39.55986,easy,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,29.47426,2.443884,14.32356,hard,warning
1,0,1,straight,stop,opposite_direction,0,0,0,0,0,0,0,9.754422e-05,9.101837,20.77322,hard,warning
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,20.0,1.47018,35.37582,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00092,1.544526,54.79886,hard,danger
