lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max,level,real_risk
1,1,1,straight,stop,from_left,1,0,1,0,0,1,1,0.051257828857533,7.495165e-07,0.8832394,2.611760112,0.0,4.1062,3.23475358625999,0.02826973,7.011931,hard,collision
1,1,0,turn_right,stop,opposite_direction,0,0,1,0,1,1,1,0.000160813939834,0.0001389282,0.000187968,2.388842199,0.0,7.090389,9.74628760165975,5.506879,13.12836,hard,collision
3,1,1,straight,straight,from_left,0,0,0,0,0,1,1,4.89800539952882,6.119267e-05,71.62164,3.64074933333333,0.0,9.503727,3.3438836548,0.01490461,7.838154,normal,collision
1,1,1,turn_right,stop,opposite_direction,1,0,1,0,0,1,1,8.43257907749431,0.0001368938,22.62928,4.05584225272727,0.0,9.489045,12.0884073295454,9.81826,15.51571,normal,collision
1,1,1,straight,turn_right,same_direction,0,0,0,0,0,1,1,11.8562747601725,0.0006833985,50.0,4.92924508791208,0.0,9.470021,11.6383963736263,10.53254,14.61473,hard,collision
1,1,1,straight,stop,from_left,0,1,1,0,0,1,1,0.088414835910204,0.0001394101,2.98493,2.34876374793197,0.0,6.930533,15.0753215646258,13.64177,16.15177,normal,collision
1,1,1,stop,turn_right,same_direction,0,0,0,0,0,0,0,4.124073930269,7.377384e-05,17.56909,2.06308011816367,0.0,5.101277,3.28964223070784,2.36765e-05,7.72769,hard,collision
1,0,1,reverse,stop,from_right,1,0,0,0,1,0,1,5.13917900411192,0.0001741555,27.83237,3.19313322935779,0.0,6.810194,4.64099182883027,0.02228259,7.044104,hard,collision
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,0.0001546847362962,0.0001459951,0.0001623238,3.48337649376296,0.0,9.552618,17.615319037037,16.08991,19.34384,hard,collision
4,1,0,turn_right,turn_right,same_direction,0,0,0,1,0,1,1,16.0524009943857,0.007979942,30.00043,2.85702989164619,0.0,7.087506,11.2065046633906,9.073223,14.6982,hard,collision
1,1,1,turn_right,stop,opposite_direction,0,1,0,0,0,1,1,6.88978433905579e-05,6.290585e-05,8.737221e-05,3.36707548988669,0.0,9.432381,15.1410374248927,13.23739,53.82674,easy,collision
1,1,1,straight,stop,same_direction,0,0,0,0,0,0,0,5.43830037030252,1.557923e-05,18.84011,2.79775072721311,0.0,7.054032,9.60081430397049,0.007541961,22.96415,hard,collision
1,1,1,stop,turn_right,same_direction,0,0,0,0,0,0,0,5.74498116886509,5.503592e-05,21.54603,4.52405933571428,0.0,7.853682,2.86362701567769,2.36765e-05,7.72769,hard,collision
4,1,0,turn left,turn left,from_left,0,0,1,1,1,0,1,4.52755892084531,0.0002771605,30.00001,2.94873640624999,0.0,9.466577,5.22980569802083,0.08772585,11.08357,hard,collision
2,1,1,turn_right,turn left,opposite_direction,0,0,0,0,1,1,1,34.4266574418604,17.27786,50.01443,2.88164056046511,0.0,9.461241,15.8669995348837,15.42107,16.57654,normal,collision
1,0,1,turn left,stop,from_right,0,0,0,0,1,0,1,0.0037578903357142,0.0001416586,0.2881851,2.96492263928571,0.0,6.889935,4.49617023071428,0.2256626,8.014909,hard,collision
1,1,1,straight,stop,from_right,0,1,1,0,0,1,1,2.60771483843561,6.113913e-05,7.535515,3.26366384477611,0.0,6.912695,5.77624646916417,0.01396143,26.4893,normal,collision
1,1,1,straight,stop,same_direction,0,0,0,0,0,0,0,5.51806608243946,5.508946e-05,20.08299,2.19314383621399,0.0,7.249959,0.863818506366255,0.001244573,4.800068,hard,collision
1,0,1,straight,stop,from_right,1,0,0,0,1,0,1,0.0009049344925548,7.554055e-05,0.1510404,2.78758524837524,0.0,6.602963,5.33381259740519,0.2216901,9.826713,hard,collision
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,14.4848810377245,0.6503511,39.02935,6.01733924352894,0.0,7.868333,9.32478693213572,6.6111,14.00381,hard,collision
2,1,1,straight,straight,same_direction,0,0,0,0,0,0,0,12.9933393982169,0.001058746,35.01369,5.49936806349206,0.0,9.519506,13.0982434920634,11.47159,14.87224,hard,collision
2,1,1,turn_right,turn_right,same_direction,0,0,0,0,1,0,1,11.1830700949264,2.473404e-05,50.0,5.98159945925926,0.0,9.561999,11.0655768271604,7.383965,16.23191,normal,collision
1,0,1,straight,straight,same_direction,0,0,0,0,1,1,1,38.6212720277777,3.680988,50.0,3.00407634305555,0.0,9.376133,7.57841304166666,4.948529,8.717825,normal,collision
1,1,0,turn_right,straight,same_direction,0,0,0,0,0,1,1,10.0194641719745,9.653238,12.13292,3.96494816921942,0.0,9.158396,29.6400419745222,24.67135,41.05727,hard,collision
1,0,1,straight,straight,same_direction,0,0,0,0,0,1,1,29.5355575555555,19.04947,40.9516,1.87237565585925,0.0,7.04974,17.090069037037,15.86342,18.93035,normal,collision
4,1,0,stop,turn left,from_right,1,0,0,0,1,0,1,18.1611090816326,4.781064,30.0004,3.07060077448979,0.0,9.381276,2.96111079969387,0.04057761,6.591522,hard,collision
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,1,1,5.2555481332802,0.0002464303,12.64998,3.6219367368421,0.0,9.563882,7.92673076441102,5.951813,12.40894,normal,collision
1,1,1,reverse,turn_right,from_right,0,1,1,0,0,1,1,2.80465698086427,0.001130806,7.97045,1.654574600998,0.0,3.803538,4.30641671896207,0.2419923,6.815312,normal,collision
2,1,1,stop,turn_right,same_direction,0,0,0,0,1,1,1,0.156015757358483,0.0001178882,2.97905,4.04775634730538,0.0,7.179306,2.03566978171856,0.008557654,7.823426,normal,collision
2,1,1,turn_right,turn_right,same_direction,0,0,0,0,1,0,1,33.4169063432835,23.47071,50.00002,3.46640786477611,0.0,9.433023,4.32704935820895,2.51418,6.234187,normal,collision
1,0,1,straight,stop,from_left,1,0,1,0,0,0,1,2.11111099456592,0.0001548287,6.551659,2.19333458503184,0.0,7.121329,4.20811235296178,0.054857,11.99656,hard,collision
2,1,1,turn left,straight,from_right,0,0,1,0,1,1,1,5.13065314857887,5.353689e-08,20.00031,4.53105088571428,0.0,9.434955,9.22039857959183,6.618494,12.28,hard,collision
1,1,1,reverse,turn_right,from_right,0,1,1,0,0,1,1,0.992735557798203,0.0001555247,12.5684,5.29833570858283,0.0,7.583578,4.30385413013972,0.2419923,6.815312,normal,collision
3,1,1,straight,straight,from_right,0,0,0,0,0,1,1,5.78538194891255,6.96515e-05,24.33214,1.54082209235294,0.0,6.820936,5.73488870720588,0.01490461,52.68736,normal,collision
2,1,0,reverse,turn left,from_right,1,0,0,0,0,0,1,24.6319478102189,16.66022,30.00004,3.57326575547445,0.0,9.467976,1.82675977167883,0.07809814,4.093901,hard,collision
2,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,33.5523520070671,2.396234,50.00225,5.38729083937455,0.0,9.499778,21.1142922614841,15.00488,27.28393,hard,collision
1,1,1,straight,straight,from_right,0,0,0,0,0,0,0,14.3800576812749,5.138952,36.35747,5.1923893067729,0.0,9.55233,20.1928800398406,18.20847,22.01214,easy,collision
1,0,1,stop,straight,same_direction,0,0,0,0,0,0,0,6.74276840197155,0.0001474406,23.47736,3.44022027507331,0.0,7.05721,8.37135456979472,0.105446,16.12733,normal,collision
