lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max,level,real_risk
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,31.9695092307692,31.39151,33.21007,7.73070353846153,6.084,9.56531,22.308882,20.67935,23.7727,hard,warning
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,7.41735535338345e-05,7.082931e-05,8.137608e-05,4.42738935338345,1.525403,9.57556,25.4891159398496,24.87804,25.90126,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,15.917494298,6.95687,24.54172,7.066444004,6.500194,7.511779,15.63534502,12.11366,17.99194,normal,warning
1,1,1,turn left,straight,same_direction,0,0,0,0,0,1,1,23.9574250561797,23.84,24.00027,5.13595728089887,3.67182,7.139772,47.7130082022471,28.87527,58.72406,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,49.997565,49.99682,49.99803,6.71382625,6.381399,7.047189,6.8265955,6.824372,6.828792,easy,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,46.9518958139534,46.68673,47.00008,5.21501679069767,3.174242,9.201272,25.3022641860465,25.04867,25.55413,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,9.2896647470946,0.0001413909,20.65988,6.631114734,5.55976,7.32984,8.79458229482999,0.006013215,16.65844,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,28.9610860465116,28.80671,29.00109,6.8470255116279,6.208251,8.473569,14.6707099999999,14.6218,14.76871,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,19.9730744470588,19.86623,20.00305,2.61682652470588,1.585138,7.105484,17.1294821882352,10.26692,23.1127,normal,danger
2,0,1,stop,straight,same_direction,0,0,0,0,1,0,1,5.72121694897319,5.139541e-06,31.61682,4.56583255670103,1.619022,7.22725,1.24894360484742,0.001458137,4.61302,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,37.5757017543859,32.53573,42.61573,4.25233332982456,0.9928768,9.533369,22.7694717543859,22.60363,22.87132,easy,danger
1,0,1,straight,straight,same_direction,0,0,1,0,0,0,1,19.9794443859649,19.86669,20.00006,8.37418026315789,7.661116,9.092322,13.7567352631578,13.43692,14.06627,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,44.921103030303,44.70034,45.00301,5.985591,4.570004,9.167908,3.66159913636363,3.529787,3.891482,hard,warning
1,0,1,reverse,stop,same_direction,0,0,1,0,0,0,1,1.54471641565697,6.57433e-05,3.240064,5.71064105813953,4.49085,7.19828,5.23588859302325,5.213121,5.279787,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.983261,19.8667,20.00014,4.46415174285714,1.625163,9.500904,28.17838,27.71072,28.68064,normal,danger
2,1,1,turn left,straight,same_direction,0,0,0,0,0,1,1,17.498026519097,0.0001228672,43.46976,5.05926044342105,0.5307155,7.716038,9.70971167105263,7.903358,12.72829,hard,danger
1,1,1,straight,turn_right,from_left,0,0,1,0,0,1,1,13.9312801785714,12.83137,15.03116,5.00792362499999,3.146751,7.059736,0.0640431350714285,0.0006779687,0.7367541,hard,warning
2,0,1,reverse,straight,from_right,1,0,0,0,0,0,1,4.22647910279557,3.651216e-05,20.00111,3.7121576117647,2.267834,9.460226,5.50666959025882,0.04274083,11.44079,hard,warning
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,29.8632125,29.44002,30.01126,6.65896988888888,6.093941,8.004614,22.5400377777777,22.24854,22.66892,hard,warning
2,1,1,turn left,straight,from_left,0,0,0,0,0,1,1,9.01189823943662,0.2790855,24.00051,5.09115567605633,2.873254,9.413933,13.7425735211267,13.14364,14.39218,hard,warning
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.494260625,10.11708,38.95016,4.25893573863636,1.239661,7.087974,7.82149413636363,7.106119,8.53742,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.7761516666666,49.12006,50.01204,6.58985733333333,5.566581,8.987266,29.752725,29.46643,30.06287,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,21.9757182524271,21.85347,22.00108,3.329504092233,1.324604,6.851541,30.8140325728155,28.08034,32.87553,hard,danger
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,49.6397730612244,48.18329,50.00019,6.10349559183673,4.62624,9.334419,8.26993397959183,7.749052,8.857379,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,25.3135447877978,3.265751e-05,50.00001,5.42074608067484,0.911638,8.509166,15.4898501441717,6.191909,39.06768,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,27.9594648571428,27.81333,28.00002,5.83156265714285,4.377806,8.949608,50.1640211428571,49.92305,50.35506,easy,warning
4,1,0,turn left,turn left,same_direction,0,0,0,0,0,0,0,28.8444774311926,22.67228,30.0002,4.84196065137614,2.328197,9.39768,9.41888364220183,8.802605,9.808128,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,24.8228278947368,24.39997,25.0042,4.11646054263157,0.8955626,9.549861,6.6739325368421,5.904951,7.585506,hard,danger
1,1,1,turn_right,straight,same_direction,1,0,1,0,0,1,1,34.1470514035087,25.10698,43.18702,4.91205728947368,1.844732,9.374606,10.4961414035087,9.81826,12.50262,normal,danger
1,1,1,straight,stop,from_right,0,0,0,0,0,0,0,1.0255528e-05,7.923461e-06,1.622168e-05,8.48347408,7.992365,9.386858,38.9740772,38.38732,39.55986,easy,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,23.4242906896551,19.48965,29.47426,4.67630803448275,2.443884,7.045646,14.3176162068965,14.31237,14.32356,hard,warning
1,0,1,straight,stop,opposite_direction,0,0,0,0,0,0,0,9.754422e-05,9.754422e-05,9.754422e-05,9.24839925,9.101837,9.394912,20.7137925,20.6557,20.77322,hard,warning
1,0,1,straight,turn_right,same_direction,0,0,0,0,0,0,0,12.2908309703703,5.635438,20.0,4.42958881481481,1.47018,9.43944,34.7479388148148,33.83533,35.37582,hard,danger
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,48.0884986284289,18.97517,50.00092,3.46138650124688,1.544526,9.528744,46.2338308728179,35.7301,54.79886,hard,danger
2,1,1,straight,turn_right,from_right,0,0,0,0,0,0,0,27.9445286178861,23.50541,48.78434,5.44248140650406,2.953074,9.492563,44.9710698373983,43.91039,45.64335,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,35.950187735849,35.76002,36.00006,6.42844713207547,5.307535,9.066928,11.0462103773584,10.94616,11.10572,easy,warning
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.9761345871559,19.86667,20.00106,4.61021247706422,1.943776,9.416455,10.4554331467889,9.694987,11.292,easy,danger
