lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_mean,vehicle_speed_min,vehicle_speed_max,distance_mean,distance_min,distance_max,bike_speed_mean,bike_speed_min,bike_speed_max,level,binary_risk
4,1,0,turn left,turn left,from_left,0,0,1,1,1,0,1,29.8892918571428,29.40667,30.00866,5.93355507142857,4.590747,8.891434,9.881851,9.063439,10.59411,hard,warning
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,18.2248182045454,5.069964,37.2988,6.50697803246753,4.254325,7.571173,13.195333051948,10.97131,15.14933,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,1.71393598055214e-05,2.141476e-07,6.060376e-05,4.79704257668711,2.211723,9.505991,20.0352899386503,18.16394,22.01528,normal,warning
1,1,1,turn_right,straight,opposite_direction,0,1,1,0,1,1,1,14.0205830434782,11.67546,16.66437,4.70978124637681,2.201119,9.319702,11.4957070289855,10.85757,12.33593,easy,warning
1,0,0,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.9041559523809,49.40006,50.00022,4.97368528571428,2.5823,9.460079,27.8345259523809,27.0792,28.63575,easy,warning
1,0,1,turn left,straight,opposite_direction,0,0,0,0,1,0,1,12.6175634722222,11.19686,14.04728,4.99143861111111,3.410749,7.243672,4.48240993055555,4.211704,4.7629,hard,warning
1,0,0,straight,stop,opposite_direction,0,0,1,0,0,0,1,4.04842753731343e-05,2.874931e-05,4.679124e-05,3.75349461194029,1.817939,7.143229,23.0893813432835,21.62796,24.55734,hard,danger
1,0,0,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.8535035616438,19.45983,20.00014,4.61434135616438,1.983828,9.357458,25.6265179452054,24.69842,26.72659,easy,danger
4,1,0,straight,turn left,same_direction,0,0,0,0,0,0,0,29.8206199159663,29.29004,30.03285,5.07467324789916,2.812221,9.417728,18.8713325210084,15.33849,22.55225,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,59.8447288235294,59.40005,60.00003,5.01069926470588,2.768995,9.170177,33.9883073529411,33.0586,34.91571,easy,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,49.8061862745098,49.39978,50.00151,5.93584096078431,4.453006,9.148108,5.05927972549019,4.965178,5.13952,easy,warning
2,0,1,reverse,straight,opposite_direction,0,0,1,0,0,0,1,19.9272986821705,19.08368,20.01297,4.11939345658914,0.9260073,9.452838,6.85868199612403,6.487256,7.222858,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,19.7901918918918,19.4331,20.0001,4.37896889189189,1.484659,9.372231,25.8555858108108,25.37376,26.28213,easy,danger
4,1,0,turn_right,turn_right,same_direction,0,0,0,1,0,1,1,22.1770669897959,14.70802,30.00029,5.20636575510204,4.155961,7.214674,22.6017566836734,21.73966,24.04121,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,49.8716656,49.61333,50.00006,4.75216621999999,2.162666,9.528448,16.4103972,15.72159,17.05631,hard,warning
