real_risk,lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level
2,2,1,1,3,4,0,0,0,0,0,0,0,50,8.51913,2
2,4,1,0,3,3,3,0,0,0,0,0,0,22.3716,10.9225,1
2,1,1,0,4,1,1,0,0,0,0,1,1,0.000171961,5.91487,1
2,3,1,0,4,4,3,1,0,0,1,1,1,10.1105,11.4371,2
2,4,1,0,3,3,0,0,0,1,0,1,0,30,7.53654,1
2,4,1,0,0,3,0,0,0,1,1,1,0,20.0048,7.21136,1
2,1,0,1,2,2,2,0,0,0,0,0,0,21.0001,7.51285,2
2,1,1,1,3,2,2,0,0,0,0,0,0,27.0001,16.8485,0
2,1,0,1,2,2,3,0,0,0,0,0,0,50,2.64127,0
2,1,1,1,2,1,1,1,0,1,0,0,1,6.991,12.255,1
1,3,0,1,2,1,2,0,0,0,0,0,0,0.0001158,33.9669,2
2,2,0,1,2,2,3,0,0,0,0,0,0,29.3116,34.2039,1
2,2,1,1,3,2,0,0,0,1,0,1,1,42,10.8656,1
1,1,0,1,2,2,2,0,0,1,0,0,0,50.0015,6.72223,0
2,1,0,1,2,2,2,0,0,0,0,0,0,4.32015,25.9468,1
1,2,0,1,3,2,1,0,0,1,0,1,1,70,6.39139,1
2,1,0,1,2,2,2,0,0,0,0,0,0,20.0001,13.4612,2
2,1,0,1,1,1,3,0,0,0,0,0,0,27.0129,5.34603,2
0,4,1,0,3,3,0,0,0,1,1,1,0,30,11.0836,1
2,1,1,1,2,1,3,0,0,0,0,0,0,9.98485,7.86696,1
2,3,0,1,2,2,3,0,0,0,0,0,0,75.9998,10.5458,1
1,1,1,1,2,1,1,0,0,0,0,0,0,2.45734e-05,39.3095,0
2,1,0,1,2,2,2,0,0,1,0,0,0,50.0001,16.3611,1
2,1,0,1,2,2,2,0,0,0,0,0,0,3.13217,18.8491,1
2,2,0,1,2,2,3,0,0,0,0,0,0,30.0134,21.6663,1
1,2,0,1,2,2,3,0,0,0,0,0,0,33.021,26.9678,1
2,2,1,1,2,2,2,0,0,0,0,0,0,29,45.6433,2
2,2,1,1,4,1,3,0,0,0,0,0,0,9.19228e-05,20.0158,2
2,1,0,1,2,4,0,0,0,0,0,0,0,32.6831,3.40617,1
1,2,1,1,3,4,3,0,0,1,0,1,1,15.3655,23.6719,1
2,1,1,1,4,1,2,0,0,0,0,0,0,9.54013,24.8262,1
2,1,0,1,2,2,2,0,0,0,0,0,0,50.0003,15.8582,1
2,1,0,1,2,2,3,0,0,0,0,0,0,20.0001,30.8415,1
1,2,1,0,4,3,2,0,0,1,1,0,0,30.0018,10.0061,0
2,1,1,1,2,4,3,0,1,0,0,0,1,20.0004,43.167,0
1,3,0,1,2,2,3,0,0,0,0,0,0,50,25.348,1
1,1,0,1,3,2,2,1,0,1,0,0,0,60,10.8076,2
2,2,1,0,3,1,2,0,0,1,1,0,0,0.00182849,26.6684,0
1,1,0,1,2,2,3,0,0,0,0,0,0,50.0011,22.5426,2
1,2,1,1,2,2,3,0,1,0,0,1,1,50.0127,27.6654,2
2,1,1,1,2,2,0,0,0,0,0,0,1,26,13.9583,1
2,2,1,1,2,2,3,0,0,0,0,0,0,29.2998,22.7733,1
1,1,0,1,2,2,2,0,0,1,0,0,0,50.0001,26.0232,2
1,4,1,0,4,3,2,0,0,1,0,0,0,20,28.8082,1
2,2,0,1,2,2,3,0,0,0,0,0,0,32.3589,8.60982,1
1,1,1,1,2,1,3,0,1,0,0,0,1,1.80421,37.2024,2
2,1,0,1,2,1,3,0,0,0,0,0,0,17.062,0.0100281,1
0,1,0,1,2,4,3,0,0,0,0,0,1,12.65,12.4089,2
1,1,1,1,2,4,0,0,0,1,0,0,1,20,9.48804,1
2,1,1,0,4,2,3,1,0,0,0,0,1,39.7007,15.9622,2
2,4,1,0,2,3,2,0,0,1,1,0,0,20.9161,6.4344,1
2,2,0,1,2,2,3,0,0,0,0,0,0,15.297,12.5401,1
0,1,0,1,0,2,3,0,0,0,0,1,0,50.0008,9.25238,2
2,4,1,0,4,4,3,0,0,0,1,0,1,30.0003,24.0412,1
2,1,0,1,2,1,3,0,0,1,0,0,0,0.000135823,16.0335,1
2,1,0,1,2,2,3,0,0,0,0,0,0,50.0001,4.90873,2
2,4,1,0,3,3,0,0,0,0,1,1,1,30.0001,11.4971,1
2,1,1,1,2,2,3,0,0,0,0,0,0,19.4229,15.1237,1
2,1,1,1,2,1,1,0,1,1,0,0,1,0.000151509,13.6178,2
1,2,0,1,2,2,2,1,0,1,0,0,0,21.4202,8.08627,1
1,1,0,1,2,2,2,0,0,1,0,0,0,50.0002,16.2509,1
2,2,0,1,2,2,3,0,0,0,0,0,0,38.2562,32.8755,1
2,1,1,1,2,1,1,0,0,0,0,0,0,1.62217e-05,39.5599,0
2,2,1,1,3,2,0,1,0,1,0,0,1,53.013,3.18084,1
2,1,1,1,2,3,3,0,0,0,0,0,0,14.6112,38.9819,0
2,1,0,1,2,2,3,0,0,1,0,0,0,50,25.7754,2
2,2,1,1,4,2,0,0,0,0,0,0,0,49.0036,17.4598,0
2,1,0,1,2,2,2,0,0,1,0,1,0,20.0006,25.1144,0
1,1,0,1,2,2,3,0,0,0,0,0,0,20,54.6539,1
1,1,0,1,2,2,3,0,0,0,0,0,0,20.0003,56.3792,0
2,1,0,1,2,2,2,0,0,0,0,0,0,50,23.1284,2
2,4,1,0,3,3,0,0,0,1,0,0,0,18.72,9.73317,1
2,2,1,1,3,2,3,0,0,0,0,0,1,50,16.2388,1
1,2,1,0,3,3,2,1,0,1,1,0,1,30,17.6072,1
2,2,0,1,0,2,3,1,0,0,0,0,0,20.0045,9.42243,2
2,1,1,1,3,1,2,0,1,1,0,1,1,6.34948e-05,14.2905,0
1,1,1,1,3,2,2,0,0,1,0,0,0,20,9.47087,1
2,1,0,1,2,2,3,0,0,0,0,0,0,49.1401,52.4469,1
1,2,0,1,2,2,3,0,0,0,0,0,0,20.0003,12.1433,1
2,1,1,1,1,3,1,0,0,0,0,0,0,35.8737,6.5295,2
1,2,0,1,2,1,3,0,0,0,0,0,0,0.000103165,11.3353,2
2,2,0,1,2,2,3,0,0,0,0,0,0,24.0002,23.4835,1
1,3,0,1,2,1,3,0,0,0,0,0,0,38.6443,25.5313,1
0,1,1,1,0,4,1,0,1,1,0,0,1,7.97045,6.81531,2
2,4,1,0,3,3,3,0,0,0,0,0,0,26.0461,21.4998,1
2,1,1,1,2,1,2,0,1,0,0,0,1,0.000128114,21.6621,2
2,2,0,1,2,2,3,0,0,0,0,0,0,62.3086,25.9355,1
2,1,0,1,4,4,2,1,0,1,0,0,0,32.2386,11.2421,2
2,3,1,0,4,4,3,1,0,0,1,1,1,14.9964,11.2011,2
2,1,1,1,2,1,0,0,1,1,0,0,1,0.000155257,13.6178,2
1,1,0,1,2,2,2,0,0,1,0,0,0,20.0005,28.3157,2
2,1,1,1,0,2,0,0,0,0,0,1,0,20,6.46858,1
2,1,1,1,3,2,2,0,0,0,0,0,0,13.6636,17.8147,1
1,4,1,0,4,3,2,0,0,1,0,0,0,30,29.5884,1
2,2,0,1,2,2,2,0,0,0,0,0,0,50,14.5254,1
2,1,0,1,2,2,3,1,0,0,0,0,0,17.4544,4.08838,1
2,1,0,1,2,2,3,0,0,0,0,0,0,7.31994,34.0222,1
1,2,0,1,1,2,3,0,0,0,0,1,0,20.0044,3.77304,2
2,2,1,0,3,2,2,0,0,1,1,0,1,0.00591866,16.4101,0
2,1,1,0,4,1,3,0,0,0,0,0,1,8.26831e-06,32.3527,2
