lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,33.21007,6.084,23.7727,hard,warning
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,no,8.137608e-05,1.525403,25.90126,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,24.54172,6.500194,17.99194,normal,warning
1,yes,yes,turn left,straight,same_direction,no,no,no,no,no,yes,yes,24.00027,3.67182,58.72406,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,49.99803,6.381399,6.828792,easy,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,47.00008,3.174242,25.55413,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,20.65988,5.55976,16.65844,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,29.00109,6.208251,14.76871,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,20.00305,1.585138,23.1127,normal,danger
2,no,yes,stop,straight,same_direction,no,no,no,no,yes,no,yes,31.61682,1.619022,4.61302,normal,danger
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,yes,42.61573,0.9928768,22.87132,easy,danger
1,no,yes,straight,straight,same_direction,no,no,yes,no,no,no,yes,20.00006,7.661116,14.06627,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,45.00301,4.570004,3.891482,hard,warning
1,no,yes,reverse,stop,same_direction,no,no,yes,no,no,no,yes,3.240064,4.49085,5.279787,normal,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,yes,20.00014,1.625163,28.68064,normal,danger
2,yes,yes,turn left,straight,same_direction,no,no,no,no,no,yes,yes,43.46976,0.5307155,12.72829,hard,danger
1,yes,yes,straight,turn_right,from_left,no,no,yes,no,no,yes,yes,15.03116,3.146751,0.7367541,hard,warning
2,no,yes,reverse,straight,from_right,yes,no,no,no,no,no,yes,20.00111,2.267834,11.44079,hard,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,yes,30.01126,6.093941,22.66892,hard,warning
2,yes,yes,turn left,straight,from_left,no,no,no,no,no,yes,yes,24.00051,2.873254,14.39218,hard,warning
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,38.95016,1.239661,8.53742,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,yes,50.01204,5.566581,30.06287,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,22.00108,1.324604,32.87553,hard,danger
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,no,50.00019,4.62624,8.857379,normal,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,50.00001,0.911638,39.06768,normal,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,28.00002,4.377806,50.35506,easy,warning
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,no,30.0002,2.328197,9.808128,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,25.0042,0.8955626,7.585506,hard,danger
1,yes,yes,turn_right,straight,same_direction,yes,no,yes,no,no,yes,yes,43.18702,1.844732,12.50262,normal,danger
1,yes,yes,straight,stop,from_right,no,no,no,no,no,no,no,1.622168e-05,7.992365,39.55986,easy,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,yes,29.47426,2.443884,14.32356,hard,warning
1,no,yes,straight,stop,opposite_direction,no,no,no,no,no,no,no,9.754422e-05,9.101837,20.77322,hard,warning
1,no,yes,straight,turn_right,same_direction,no,no,no,no,no,no,no,20.0,1.47018,35.37582,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,50.00092,1.544526,54.79886,hard,danger
2,yes,yes,straight,turn_right,from_right,no,no,no,no,no,no,no,48.78434,2.953074,45.64335,normal,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,36.00006,5.307535,11.10572,easy,warning
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,yes,20.00106,1.943776,11.292,easy,danger
1,no,yes,stop,stop,from_right,no,no,no,no,yes,no,yes,0.0001576661,4.999844,5.233219,hard,warning
1,no,yes,straight,stop,opposite_direction,no,no,no,no,no,no,no,9.271804,3.616858,20.77322,hard,warning
2,yes,yes,turn left,straight,from_left,no,no,no,no,no,yes,yes,17.78645,7.034238,14.39218,hard,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,yes,30.0073,5.458451,23.49432,hard,warning
2,no,yes,stop,straight,same_direction,no,no,no,no,yes,no,yes,43.00536,3.237259,4.204607,normal,warning
4,yes,no,stop,turn left,from_right,yes,no,no,no,yes,no,yes,20.00003,3.550866,7.069465,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,7.311118,5.55846,22.63981,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,yes,no,yes,20.0,5.698786,15.87629,normal,warning
1,no,yes,stop,stop,same_direction,no,no,no,no,no,no,no,13.92318,8.844593,0.01437633,easy,danger
1,yes,yes,stop,turn_right,from_left,no,no,yes,no,yes,no,yes,33.15124,0.6306763,2.858733,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,25.73648,2.309172,22.8028,normal,warning
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,no,6.504732e-05,3.173847,26.0086,hard,warning
3,yes,yes,turn_right,straight,from_left,no,no,no,no,no,no,no,11.78672,5.866268,5.676788,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,50.00567,5.21482,37.88732,normal,warning
2,yes,yes,turn left,stop,same_direction,no,no,no,no,yes,yes,yes,36.01492,1.829217,16.02863,normal,danger
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,no,9.470676e-05,5.86698,9.286287,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,62.30861,2.900124,25.93547,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,50.0005,5.998793,32.42684,easy,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,20.00005,1.66105,43.05401,normal,danger
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,no,41.83916,4.418386,18.73628,hard,warning
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,no,0.000148083,1.322406,36.21624,normal,danger
2,no,yes,turn_right,straight,opposite_direction,yes,no,yes,no,no,no,yes,50.00206,6.715389,10.56045,hard,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,yes,30.00001,5.354537,20.52835,hard,warning
2,yes,no,turn_right,stop,same_direction,no,no,no,no,no,no,no,8.158631e-07,7.955347,11.1024,normal,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,20.00008,3.217058,26.77538,hard,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,yes,20.00038,4.993742,22.00072,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,50.00102,4.727917,49.9892,normal,warning
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,no,26.00004,2.195211,28.91823,hard,warning
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,no,20.00031,4.653743,15.11968,hard,warning
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,yes,23.81322,4.799952,28.63788,hard,warning
