lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
2,yes,yes,turn left,turn_right,from_left,no,no,no,no,no,no,50.0,8.51913,normal,warning
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,22.3716,10.9225,hard,warning
1,yes,no,turn_right,stop,from_right,no,no,no,no,yes,yes,0.000171961,5.91487,hard,warning
3,yes,no,turn_right,turn_right,same_direction,yes,no,no,yes,yes,yes,10.1105,11.4371,normal,warning
4,yes,no,turn left,turn left,from_left,no,no,yes,no,yes,no,30.0,7.53654,hard,warning
4,yes,no,reverse,turn left,from_left,no,no,yes,yes,yes,no,20.0048,7.21136,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,21.0001,7.51285,normal,warning
1,yes,yes,turn left,straight,opposite_direction,no,no,no,no,no,no,27.0001,16.8485,easy,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0,2.64127,easy,warning
1,yes,yes,straight,stop,from_right,yes,no,yes,no,no,yes,6.991,12.255,hard,warning
3,no,yes,straight,stop,opposite_direction,no,no,no,no,no,no,0.0001158,33.9669,normal,danger
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,29.3116,34.2039,hard,warning
2,yes,yes,turn left,straight,from_left,no,no,yes,no,yes,yes,42.0,10.8656,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,50.0015,6.72223,easy,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,4.32015,25.9468,hard,warning
2,no,yes,turn left,straight,from_right,no,no,yes,no,yes,yes,70.0,6.39139,hard,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,20.0001,13.4612,normal,warning
1,no,yes,stop,stop,same_direction,no,no,no,no,no,no,27.0129,5.34603,normal,warning
4,yes,no,turn left,turn left,from_left,no,no,yes,yes,yes,no,30.0,11.0836,hard,collision
1,yes,yes,straight,stop,same_direction,no,no,no,no,no,no,9.98485,7.86696,hard,warning
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,75.9998,10.5458,hard,warning
1,yes,yes,straight,stop,from_right,no,no,no,no,no,no,2.45734e-05,39.3095,easy,danger
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,50.0001,16.3611,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,3.13217,18.8491,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,30.0134,21.6663,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,33.021,26.9678,hard,danger
2,yes,yes,straight,straight,opposite_direction,no,no,no,no,no,no,29.0,45.6433,normal,warning
2,yes,yes,turn_right,stop,same_direction,no,no,no,no,no,no,9.19228e-05,20.0158,normal,warning
1,no,yes,straight,turn_right,from_left,no,no,no,no,no,no,32.6831,3.40617,hard,warning
2,yes,yes,turn left,turn_right,same_direction,no,no,yes,no,yes,yes,15.3655,23.6719,hard,danger
1,yes,yes,turn_right,stop,opposite_direction,no,no,no,no,no,no,9.54013,24.8262,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0003,15.8582,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0001,30.8415,hard,warning
2,yes,no,turn_right,turn left,opposite_direction,no,no,yes,yes,no,no,30.0018,10.0061,easy,danger
1,yes,yes,straight,turn_right,same_direction,no,yes,no,no,no,yes,20.0004,43.167,easy,warning
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0,25.348,hard,danger
1,no,yes,turn left,straight,opposite_direction,yes,no,yes,no,no,no,60.0,10.8076,normal,danger
2,yes,no,turn left,stop,opposite_direction,no,no,yes,yes,no,no,0.00182849,26.6684,easy,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0011,22.5426,normal,danger
2,yes,yes,straight,straight,same_direction,no,yes,no,no,yes,yes,50.0127,27.6654,normal,danger
1,yes,yes,straight,straight,from_left,no,no,no,no,no,yes,26.0,13.9583,hard,warning
2,yes,yes,straight,straight,same_direction,no,no,no,no,no,no,29.2998,22.7733,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,50.0001,26.0232,normal,danger
4,yes,no,turn_right,turn left,opposite_direction,no,no,yes,no,no,no,20.0,28.8082,hard,danger
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,32.3589,8.60982,hard,warning
1,yes,yes,straight,stop,same_direction,no,yes,no,no,no,yes,1.80421,37.2024,normal,danger
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,17.062,0.0100281,hard,warning
1,no,yes,straight,turn_right,same_direction,no,no,no,no,no,yes,12.65,12.4089,normal,collision
1,yes,yes,straight,turn_right,from_left,no,no,yes,no,no,yes,20.0,9.48804,hard,danger
1,yes,no,turn_right,straight,same_direction,yes,no,no,no,no,yes,39.7007,15.9622,normal,warning
4,yes,no,straight,turn left,opposite_direction,no,no,yes,yes,no,no,20.9161,6.4344,hard,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,15.297,12.5401,hard,warning
1,no,yes,reverse,straight,same_direction,no,no,no,no,yes,no,50.0008,9.25238,normal,collision
4,yes,no,turn_right,turn_right,same_direction,no,no,no,yes,no,yes,30.0003,24.0412,hard,warning
1,no,yes,straight,stop,same_direction,no,no,yes,no,no,no,0.000135823,16.0335,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0001,4.90873,normal,warning
