lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
2,1,1,3,4,0,0,0,0,0,0,0,50.0,8.51913,2,2
4,1,0,3,3,3,0,0,0,0,0,0,22.3716,10.9225,1,2
1,1,0,4,1,1,0,0,0,0,1,1,0.000171961,5.91487,1,2
3,1,0,4,4,3,1,0,0,1,1,1,10.1105,11.4371,2,2
4,1,0,3,3,0,0,0,1,0,1,0,30.0,7.53654,1,2
4,1,0,0,3,0,0,0,1,1,1,0,20.0048,7.21136,1,2
1,0,1,2,2,2,0,0,0,0,0,0,21.0001,7.51285,2,2
1,1,1,3,2,2,0,0,0,0,0,0,27.0001,16.8485,0,2
1,0,1,2,2,3,0,0,0,0,0,0,50.0,2.64127,0,2
1,1,1,2,1,1,1,0,1,0,0,1,6.991,12.255,1,2
3,0,1,2,1,2,0,0,0,0,0,0,0.0001158,33.9669,2,1
2,0,1,2,2,3,0,0,0,0,0,0,29.3116,34.2039,1,2
2,1,1,3,2,0,0,0,1,0,1,1,42.0,10.8656,1,2
1,0,1,2,2,2,0,0,1,0,0,0,50.0015,6.72223,0,1
1,0,1,2,2,2,0,0,0,0,0,0,4.32015,25.9468,1,2
2,0,1,3,2,1,0,0,1,0,1,1,70.0,6.39139,1,1
1,0,1,2,2,2,0,0,0,0,0,0,20.0001,13.4612,2,2
1,0,1,1,1,3,0,0,0,0,0,0,27.0129,5.34603,2,2
4,1,0,3,3,0,0,0,1,1,1,0,30.0,11.0836,1,0
1,1,1,2,1,3,0,0,0,0,0,0,9.98485,7.86696,1,2
3,0,1,2,2,3,0,0,0,0,0,0,75.9998,10.5458,1,2
1,1,1,2,1,1,0,0,0,0,0,0,2.45734e-05,39.3095,0,1
1,0,1,2,2,2,0,0,1,0,0,0,50.0001,16.3611,1,2
1,0,1,2,2,2,0,0,0,0,0,0,3.13217,18.8491,1,2
