Marca temporal,Usuario,Edad,Sexo,Maneja bicicleta regularmente (veces en la semana),medio de transporte habitual,Qué tan inmersivo fue la experiencia,Percepción de seguridad,Usabilidad,Nivel jugado,Subidas a andén por calle,Pasarse semaforo,conducir sentido contrario por calle,entrar mal a rotonda,conducir por entre carriles por calle,Cruces sin prioridad,total infracciones,total advertencias,total riesgos,total colisiones,total incidentes (logs),tiempo jugado
2024-06-27 17:41:08.055,877987,18,Hombre,Nunca,Macro,4,3,5,Fácil,1.0,0.0,0.0,1.0,1.0,1.0,4,20,34,1,55,03:16
2024-06-27 18:16:11.695,983228,21,Hombre,De 1 a 3 veces,Tren,4,3,4,Fácil,2.0,1.0,5.0,2.0,3.0,4.0,17,13,6,3,22,05:06
2024-06-27 18:20:27.869,202487,22,Hombre,Nunca,Tren,4,5,4,Fácil,1.0,2.0,5.0,0.0,2.0,2.0,12,14,2,0,16,03:12
2024-06-27 18:26:43.195,961011,22,Hombre,Nunca,Tren,5,3,3,Fácil,2.0,1.0,4.0,1.0,3.0,1.0,12,0,2,0,2,02:56
2024-06-27 18:38:58.426,702130,24,Hombre,Nunca,Macro,4,4,4,Fácil,2.0,3.0,6.0,1.0,1.0,3.0,16,15,6,0,21,05:55
2024-06-27 18:59:07.680,115894,22,Mujer,Nunca,Tren,4,5,5,Fácil,4.0,2.0,7.0,2.0,4.0,3.0,22,24,10,1,35,07:59
2024-06-27 19:11:05.797,985691,18,Hombre,De 1 a 3 veces,Macro,5,5,5,Fácil,13.0,3.0,9.0,1.0,6.0,4.0,36,18,3,0,21,05:54
2024-06-27 19:24:22.685,912491,23,Hombre,Todo el tiempo,Bicicleta,4,4,5,Fácil,1.0,1.0,6.0,2.0,5.0,2.0,17,5,14,0,19,04:05
2024-06-27 19:34:00.185,631725,29,Hombre,Nunca,Vehiculo particular,3,5,4,Fácil,1.0,1.0,4.0,1.0,3.0,2.0,12,12,2,0,14,03:10
2024-06-27 19:44:37.427,191185,27,Mujer,Nunca,Vehiculo particular,5,3,3,Fácil,0.0,0.0,1.0,0.0,3.0,0.0,4,7,0,1,8,02:55
2024-06-27 19:54:20.862,695601,28,Mujer,Nunca,Microbus,4,2,3,Fácil,4.0,2.0,5.0,1.0,5.0,3.0,20,19,6,0,25,05:20
2024-06-27 20:10:24.943,403539,26,Hombre,Todo el tiempo,Bicicleta,3,4,3,Fácil,5.0,0.0,6.0,1.0,5.0,1.0,18,20,6,0,26,08:13
2024-06-27 21:35:49.694,125171,26,Hombre,Nunca,Vehiculo particular,3,4,3,Normal,7.0,3.0,5.0,0.0,5.0,3.0,23,19,4,2,25,04:14
2024-06-27 21:47:07.978,692155,23,Mujer,De 1 a 3 veces,Macro,4,4,4,Normal,3.0,4.0,4.0,0.0,1.0,6.0,18,58,17,7,82,06:27
2024-06-27 22:10:42.072,290475,32,Hombre,Nunca,Vehiculo particular,4,3,4,Normal,3.0,0.0,1.0,4.0,6.0,9.0,23,56,19,2,77,07::20
2024-06-27 22:22:43.824,191416,22,Hombre,Nunca,Macro,3,4,4,Normal,6.0,2.0,9.0,0.0,9.0,9.0,35,63,11,1,75,07:11
2024-06-28 13:28:25.111,283025,22,Hombre,Todo el tiempo,Bicicleta,4,4,5,Normal,1.0,1.0,2.0,1.0,1.0,3.0,9,32,9,1,42,05:10
2024-06-28 13:47:41.307,440502,21,Hombre,Nunca,Tren,5,3,4,Normal,1.0,2.0,4.0,2.0,8.0,10.0,27,52,15,5,72,04:58
2024-06-28 13:57:55.138,340124,25,Hombre,De 1 a 3 veces,Motocicleta,5,3,4,Normal,4.0,0.0,3.0,0.0,7.0,3.0,17,40,16,3,59,03:44
2024-06-28 14:10:24.554,199081,27,Mujer,Nunca,Tren,4,4,5,Normal,2.0,1.0,5.0,2.0,6.0,6.0,22,62,13,1,76,05:17
2024-06-28 14:40:50.122,946998,20,Hombre,Nunca,Vehiculo particular,3,4,5,Normal,3.0,2.0,6.0,1.0,4.0,4.0,20,33,17,0,50,05:49
2024-06-28 14:48:20.631,681028,20,Mujer,Nunca,Vehiculo particular,5,3,5,Normal,2.0,2.0,1.0,0.0,3.0,2.0,10,17,3,0,20,02:33
2024-06-28 14:55:22.392,426531,23,Hombre,Nunca,Vehiculo particular,4,4,4,Normal,1.0,2.0,5.0,1.0,3.0,4.0,16,13,6,0,19,03:15
2024-06-28 15:20:37.619,963228,19,Hombre,De 1 a 3 veces,Macro,3,5,4,Normal,1.0,3.0,3.0,0.0,2.0,3.0,12,21,21,0,42,03:42
2024-06-28 16:18:35.681,961744,19,Mujer,De 1 a 3 veces,Microbus,4,4,5,Difícil,1.0,0.0,3.0,0.0,2.0,3.0,9,35,20,0,55,03:33
2024-06-28 16:26:29.829,642998,21,Mujer,Nunca,Microbus,4,4,4,Difícil,4.0,0.0,6.0,0.0,5.0,2.0,17,34,8,0,42,02:33
2024-06-28 16:35:06.590,745340,20,Mujer,Nunca,Macro,5,5,5,Difícil,10.0,3.0,3.0,0.0,6.0,7.0,29,62,32,9,103,06:02
2024-06-28 16:54:43.217,749743,21,Hombre,De 1 a 3 veces,Vehiculo particular,4,4,5,Difícil,2.0,0.0,4.0,1.0,4.0,3.0,14,75,23,2,100,05:31
2024-06-28 17:46:55.294,344257,23,Hombre,Todo el tiempo,Bicicleta,4,4,5,Difícil,0.0,0.0,2.0,1.0,3.0,6.0,12,62,37,2,101,06:11
